account_id,company_name,industry,country,employee_count,signup_date,plan
221118,Xenon Analytics,Logistics,Japan,3,2024-07-22 17:11:47,Starter
697547,TriggerPoint,Software,Brazil,75,2025-02-08 13:10:44,Growth
753247,MeshWorks,Manufacturing,United Kingdom,30,2023-11-17 15:15:33,Growth
931016,Catalyst CRM,Retail,Germany,58,2023-06-13 07:14:32,Growth
254108,Junction Cloud,Financial Services,Canada,11,2024-04-18 18:14:32,Starter
394508,StackBase,Software,Germany,21,2023-08-28 09:25:01,Starter
919775,HorizonSaaS,Financial Services,Netherlands,56,2024-03-06 14:38:08,Growth
363409,LaunchPad HQ,Financial Services,Canada,32,2025-01-08 10:51:45,Growth
423101,Keystroke AI,Software,Brazil,310,2024-08-06 15:49:55,Business
644079,PipelineIO,Manufacturing,Canada,58,2024-04-07 14:36:53,Growth
452461,Inline Systems,Financial Services,Canada,30,2023-11-11 12:51:24,Growth
282947,Lattice HQ,Retail,United Kingdom,5,2023-05-14 10:53:40,Starter
645195,JetMetrics,Education,Australia,11,2024-08-08 14:27:56,Starter
812313,Gradient Labs,Financial Services,Canada,21,2023-08-02 16:25:40,Starter
118279,HubStack,Healthcare,India,34,2025-02-04 12:41:37,Growth
421775,Envoy Platforms,Healthcare,Netherlands,7,2024-06-30 07:39:12,Starter
341901,TriggerPoint Labs,Healthcare,Japan,22,2025-01-23 09:58:31,Starter
909740,CloudPeak Systems,Education,Japan,116,2024-09-19 13:01:43,Growth
259373,PipelineIO Labs,Software,United States,16,2024-08-27 19:41:43,Starter
173985,Lattice HQ Labs,Retail,Germany,6,2023-11-05 15:16:50,Starter
649882,GridLogic,Software,Australia,7,2024-12-08 14:07:40,Starter
552380,Junction Cloud Labs,Software,India,139,2024-04-18 07:34:21,Business
527428,TriggerPoint Systems,Financial Services,Australia,304,2025-08-21 15:08:18,Business
661655,InfraPoint,Retail,Netherlands,5,2023-03-27 11:20:52,Starter
761986,TriggerPoint Group,Logistics,India,122,2024-03-26 07:40:13,Business
799789,GridLogic Labs,Financial Services,United States,20,2025-05-30 03:44:46,Starter
682986,InfraPoint Labs,Software,France,14,2025-04-30 09:12:15,Starter
342116,HubStack Labs,Software,United States,16,2025-08-24 14:17:40,Starter
699585,Deployly,Logistics,Japan,7,2024-12-17 09:14:31,Growth
799901,FunnelSoft,Manufacturing,Germany,84,2025-06-30 08:56:37,Growth
260118,NexusOne,Software,Canada,231,2025-01-15 08:30:47,Business
821114,VaultStream,Software,Germany,43,2025-01-13 10:45:50,Growth
516478,QueryForge,Retail,Japan,3,2024-06-04 08:09:21,Starter
676614,VaultStream Labs,Retail,Australia,44,2025-07-16 12:38:09,Growth
591806,StackBase Labs,Retail,Japan,18,2024-11-20 14:26:23,Growth
980608,QueryForge Labs,Financial Services,United Kingdom,27,2024-08-26 09:20:21,Growth
814957,ZeroFriction,Software,Brazil,25,2025-06-01 17:09:42,Growth
198781,Envoy Platforms Labs,Software,France,23,2024-09-10 14:23:19,Starter
398032,Gradient Labs Labs,Software,France,3,2025-09-22 15:49:23,Starter
641328,Deployly Labs,Healthcare,India,17,2024-11-19 16:56:32,Starter
499802,HubStack Systems,Software,Australia,10,2024-01-15 12:26:04,Starter
448227,VaultStream Systems,Software,Australia,33,2025-06-09 12:54:27,Growth
872118,TriggerPoint Technologies,Financial Services,Japan,1043,2025-02-23 15:25:11,Enterprise
206487,Unified Ops,Software,Australia,6,2024-09-30 13:30:01,Starter
203708,Deployly Systems,Financial Services,Canada,90,2025-05-02 08:58:18,Growth
847537,Catalyst CRM Labs,Software,Japan,842,2025-06-16 12:09:50,Enterprise
938205,Xenon Analytics Labs,Education,United States,23,2025-02-07 21:47:02,Starter
724555,JetMetrics Labs,Retail,Netherlands,14,2024-11-01 18:04:04,Starter
318162,Junction Cloud Systems,Logistics,Japan,48,2023-01-31 14:24:51,Growth
956011,Unified Ops Labs,Financial Services,Germany,69,2025-03-29 14:55:04,Growth
165228,LaunchPad HQ Labs,Retail,United Kingdom,88,2023-05-19 09:39:40,Growth
141893,Omnisend,Software,United Kingdom,16,2023-04-08 14:11:40,Starter
650852,Omnisend Labs,Software,Germany,11,2023-11-30 22:52:26,Starter
450199,GridLogic Systems,Education,France,15,2025-05-09 12:24:46,Starter
228677,VaultStream Group,Healthcare,Australia,7,2023-07-27 09:34:36,Starter
837734,ZeroFriction Labs,Logistics,United States,50,2025-09-23 08:11:08,Growth
907406,MeshWorks Labs,Manufacturing,Brazil,5,2024-07-29 08:34:49,Starter
241202,Unified Ops Systems,Logistics,Netherlands,50,2024-04-29 12:06:25,Growth
112414,Momentum Tools,Financial Services,Germany,22,2023-02-18 19:20:29,Starter
996360,NodeSync,Financial Services,Brazil,15,2025-02-26 08:47:23,Starter
897529,JetMetrics Systems,Education,United States,3,2024-09-20 09:56:52,Starter
333795,HubStack Group,Financial Services,United States,103,2024-12-04 08:34:41,Growth
951550,Junction Cloud Group,Financial Services,United Kingdom,8,2023-08-04 09:09:50,Starter
147538,LaunchPad HQ Systems,Manufacturing,Australia,5,2024-08-17 07:46:38,Starter
230161,WorksiteOS,Financial Services,Canada,19,2023-04-30 13:08:58,Growth
768193,FlowState,Healthcare,Germany,118,2025-04-07 13:11:32,Growth
270148,Axiom Labs,Retail,Australia,38,2024-07-05 08:47:08,Growth
619919,ZeroFriction Systems,Financial Services,United States,12,2024-12-07 10:41:46,Starter
473607,DataBridge Pro,Financial Services,United States,3,2024-06-16 21:32:01,Starter
450789,Inline Systems Labs,Healthcare,France,162,2023-11-17 11:58:55,Business
271150,WorksiteOS Labs,Software,Netherlands,85,2025-06-24 19:20:41,Growth
414105,Beacon Software,Logistics,Australia,12,2023-11-09 14:47:16,Starter
477382,VaultStream Technologies,Financial Services,Australia,38,2023-02-02 15:02:08,Growth
952954,Kinetic AI,Software,France,32,2023-08-03 20:58:36,Growth
600774,Basecamp Analytics,Manufacturing,United States,462,2024-09-01 10:44:21,Business
129289,PipelineIO Systems,Software,Brazil,20,2024-08-08 10:51:38,Starter
729499,WorksiteOS Systems,Healthcare,United Kingdom,78,2024-04-28 08:34:22,Growth
304212,Unified Ops Group,Retail,United Kingdom,24,2023-02-28 08:41:30,Starter
769395,JetMetrics Group,Software,Netherlands,6,2025-07-19 09:20:31,Starter
892300,InfraPoint Systems,Retail,France,33,2024-06-29 09:26:15,Growth
613197,Inline Systems Systems,Software,India,67,2023-04-01 07:44:20,Growth
843432,Lattice HQ Systems,Healthcare,Japan,117,2023-01-10 06:07:31,Starter
768839,MeshWorks Systems,Software,United Kingdom,3,2025-07-14 14:39:10,Starter
759736,NexusOne Labs,Manufacturing,Canada,82,2024-07-22 22:58:49,Growth
902628,Xenon Analytics Systems,Manufacturing,Australia,137,2025-05-23 08:55:23,Business
380513,Deployly Group,Healthcare,Germany,13,2025-08-07 15:14:21,Starter
875061,Xenon Analytics Group,Retail,India,21,2024-10-20 11:17:40,Starter
713907,FlowState Labs,Retail,India,21,2024-02-16 10:43:11,Starter
832722,HubStack Technologies,Retail,United Kingdom,153,2025-07-04 12:40:13,Business
620640,QueryForge Systems,Manufacturing,France,72,2023-12-29 18:33:31,Growth
290736,Relay Systems,Manufacturing,Canada,188,2024-02-06 07:47:11,Enterprise
893066,DataBridge Pro Labs,Software,France,18,2024-05-03 15:03:02,Starter
769811,StackBase Systems,Financial Services,Canada,34,2024-08-05 09:00:08,Business
633095,Relay Systems Labs,Education,Canada,58,2025-03-30 05:08:30,Growth
692863,MeshWorks Group,Software,Netherlands,13,2024-06-17 14:07:02,Starter
681503,Kinetic AI Labs,Education,Netherlands,5,2024-10-17 11:41:25,Starter
679810,VaultStream Digital,Retail,Canada,44,2023-11-20 12:58:59,Growth
280156,Kinetic AI Systems,Healthcare,United States,117,2023-11-30 12:23:22,Growth
316254,Inline Systems Group,Healthcare,Japan,29,2024-10-01 15:47:01,Growth
256035,Deployly Technologies,Healthcare,Germany,17,2023-11-30 18:06:46,Starter
697314,Junction Cloud Technologies,Software,Canada,49,2023-06-05 10:12:29,Growth
566579,Kinetic AI Group,Education,Canada,52,2025-05-06 14:52:10,Business
290620,Kinetic AI Technologies,Retail,Canada,13,2024-10-03 19:52:21,Starter
662747,ZeroFriction Group,Manufacturing,Brazil,1173,2025-01-23 07:20:26,Enterprise
157478,HubStack Digital,Healthcare,United States,15,2025-08-05 14:53:20,Starter
721049,WorksiteOS Group,Manufacturing,India,14,2024-06-26 07:32:04,Starter
261774,Keystroke AI Labs,Education,Brazil,108,2025-06-14 19:40:24,Growth
824578,InfraPoint Group,Software,Australia,40,2025-07-29 19:00:07,Growth
565218,Gradient Labs Systems,Education,Germany,206,2025-01-14 09:47:31,Business
194570,Amplitude Corp,Logistics,United Kingdom,3,2023-07-23 14:21:51,Starter
201117,Xenon Analytics Technologies,Education,United Kingdom,30,2024-09-14 17:27:52,Growth
969635,HorizonSaaS Labs,Healthcare,Japan,8,2025-04-16 00:56:02,Starter
292475,HubStack Partners,Retail,Australia,52,2024-01-19 16:26:50,Business
395744,Beacon Software Labs,Financial Services,United States,5,2023-02-24 11:25:51,Starter
395913,Omnisend Systems,Software,Brazil,60,2024-02-15 15:42:09,Growth
623050,ZeroFriction Technologies,Education,United States,7,2025-07-07 08:43:39,Starter
364738,Omnisend Group,Financial Services,Brazil,55,2024-01-23 08:27:44,Growth
383347,InfraPoint Technologies,Financial Services,Canada,7,2024-04-10 14:21:22,Starter
619995,Inline Systems Technologies,Logistics,United States,20,2025-09-06 15:08:29,Starter
943067,Lattice HQ Group,Education,United States,50,2025-01-07 15:57:46,Growth
275252,NodeSync Labs,Logistics,Netherlands,51,2025-01-24 07:35:10,Growth
617646,GridLogic Group,Logistics,United Kingdom,30,2023-02-26 12:28:50,Growth
240194,DataBridge Pro Systems,Financial Services,Brazil,9,2023-04-10 21:15:40,Starter
571416,Kinetic AI Digital,Financial Services,United Kingdom,54,2025-03-30 13:02:11,Growth
332026,NexusOne Systems,Retail,United States,3,2024-10-16 18:10:53,Starter
157411,FunnelSoft Labs,Financial Services,Germany,129,2024-11-02 14:40:01,Business
288393,DataBridge Pro Group,Retail,India,46,2023-11-09 15:28:41,Growth
166599,YieldMetrics,Software,Brazil,52,2023-08-05 15:45:36,Growth
727242,Deployly Digital,Education,Germany,9,2024-05-17 17:41:02,Starter
288150,FlowState Systems,Retail,United Kingdom,44,2025-02-12 16:56:34,Growth
689786,HorizonSaaS Systems,Manufacturing,Japan,21,2023-04-05 09:19:16,Starter
993977,NexusOne Group,Software,Australia,5,2025-02-17 09:16:52,Starter
611661,ZeroFriction Digital,Healthcare,Brazil,12,2023-03-29 17:16:45,Starter
875381,Junction Cloud Digital,Financial Services,Canada,51,2023-06-10 11:34:59,Growth
813618,HubStack Analytics,Software,Brazil,10,2025-07-28 16:32:35,Starter
668250,Catalyst CRM Systems,Logistics,Netherlands,229,2024-04-07 08:44:53,Business
836507,Beacon Software Systems,Software,Brazil,9,2024-02-07 17:42:29,Starter
713834,Xenon Analytics Digital,Retail,United Kingdom,7,2024-08-16 10:23:26,Starter
740617,VaultStream Partners,Healthcare,Germany,151,2023-10-27 16:10:09,Business
670800,StackBase Group,Education,France,109,2023-09-14 10:11:17,Growth
574768,ZeroFriction Partners,Software,United Kingdom,86,2023-05-12 10:58:08,Growth
822504,Omnisend Technologies,Education,United States,37,2023-05-01 09:28:58,Growth
262565,Gradient Labs Group,Healthcare,Germany,37,2023-03-08 11:28:24,Growth
561696,Basecamp Analytics Labs,Financial Services,India,8,2025-08-27 13:26:53,Starter
888218,ZeroFriction Analytics,Software,Australia,4,2025-02-14 10:01:03,Starter
479242,Keystroke AI Systems,Software,Brazil,69,2025-08-28 15:13:40,Growth
