invoice_id,account_id,invoice_date,amount,status
5439659,877086,2025-07-20 11:35:55,573.25,paid
6345938,466636,2025-05-03 09:14:19,125.17,paid
5942838,346678,2025-05-12 23:24:32,384.25,paid
4660126,790364,2025-10-18 11:31:31,178.09,paid
4894712,315012,2025-11-14 16:53:30,3878.6,paid
7080939,968217,2025-05-03 14:29:02,81.29,paid
917458,339830,2025-01-30 19:06:02,2549.32,paid
5462391,727732,2025-11-02 23:40:55,51.62,paid
4293602,182485,2025-11-24 09:24:27,139.41,paid
6522167,663683,2025-09-12 12:25:46,47.05,paid
5828555,669720,2025-12-30 12:13:52,5712.65,paid
2772879,805850,2025-11-16 06:32:55,442.3,open
9283795,809176,2025-08-22 20:44:02,635.92,paid
9720770,646915,2025-11-19 14:52:40,482.05,paid
2559832,457669,2025-12-13 07:56:24,26290.51,paid
9034265,288150,2025-05-02 09:27:56,314.82,paid
3479398,961826,2025-07-23 20:47:07,63.3,paid
4011881,450199,2025-05-09 13:48:40,86.85,paid
9993769,460814,2025-12-27 09:21:36,30.94,paid
3340970,832087,2025-05-17 19:48:02,352.77,paid
9135999,695703,2025-08-20 07:42:25,70.65,paid
6236392,531456,2025-06-23 03:47:16,88.77,paid
8612890,900536,2025-02-07 08:25:48,50.55,paid
5725343,691462,2025-04-12 10:46:50,118.62,paid
9135472,358134,2025-04-12 16:44:32,988.2,paid
7789791,124671,2025-07-05 17:24:55,403.63,paid
8732086,964514,2025-05-04 06:48:37,488.29,paid
6063567,298652,2025-12-02 12:57:33,671.81,paid
4805128,378702,2025-05-25 03:09:42,72.36,uncollectible
6813215,599502,2025-05-28 13:57:34,61.81,paid
1074153,600507,2025-09-08 14:06:40,380.09,paid
5222620,332026,2025-01-18 08:39:28,35.31,paid
359627,383347,2025-05-30 09:45:26,84.57,paid
520956,279735,2025-05-10 02:00:40,115.24,paid
9638451,685200,2025-09-27 13:02:36,443.5,paid
7590839,695829,2025-02-19 05:50:00,45.2,paid
4773237,416815,2025-01-07 11:33:34,537.67,paid
7068406,642899,2025-04-07 16:15:35,75.13,paid
3731770,110911,2025-12-06 14:17:49,35.67,paid
975018,133440,2025-05-21 11:24:43,87.75,uncollectible
9843635,262660,2025-12-25 09:47:56,196.44,paid
