subscription_id,account_id,seats,status,mrr,started_on,ended_on
500001,574882,6,active,72.0,2025-02-20 11:17:51,
500002,561622,3,active,36.0,2024-06-09 16:53:00,
500003,952954,19,churned,456.0,2023-08-03 20:58:36,2024-04-04 20:58:36
500004,656283,35,active,840.0,2024-01-27 17:16:01,
500005,541269,9,churned,216.0,2024-06-24 23:24:02,2025-03-21 23:24:02
500006,811779,7,churned,84.0,2024-12-28 13:08:20,2025-09-23 13:08:20
500007,290620,7,past_due,84.0,2024-10-03 19:52:21,
500008,499802,7,churned,84.0,2024-01-15 12:26:04,2024-10-12 12:26:04
500009,605260,6,active,72.0,2025-02-23 13:18:21,
500010,256035,3,active,36.0,2023-11-30 18:06:46,
500011,474008,35,active,840.0,2025-03-04 12:58:50,
500012,794431,18,active,432.0,2024-08-05 10:14:44,
500013,179049,15,active,360.0,2025-04-22 08:38:10,
500014,269054,7,churned,84.0,2023-01-04 12:03:10,2023-08-22 12:03:10
500015,369202,24,active,576.0,2023-02-07 19:45:36,
500016,315012,89,active,3916.0,2025-07-26 11:42:05,
500017,280961,12,active,288.0,2023-03-26 14:50:38,
500018,210552,79,active,3476.0,2025-09-11 12:46:34,
500019,706802,28,active,672.0,2023-01-14 08:33:47,
500020,694103,3,active,36.0,2024-12-04 11:01:45,
500021,416704,7,churned,84.0,2023-02-22 04:23:57,2023-12-07 04:23:57
500022,269785,28,active,672.0,2024-07-20 14:15:14,
500023,150235,4,active,48.0,2024-03-13 13:17:57,
500024,627910,4,active,96.0,2023-07-15 14:29:21,
500025,950543,3,active,36.0,2024-03-16 07:04:04,
500026,143122,3,active,36.0,2025-09-09 17:23:15,
500027,641276,7,active,168.0,2024-09-12 19:52:03,
500028,117687,173,active,13667.0,2024-03-15 20:17:50,
500029,517368,103,active,4532.0,2023-05-19 13:12:29,
500030,943223,17,active,408.0,2024-08-28 14:31:51,
500031,813618,2,active,24.0,2025-07-28 16:32:35,
500032,372607,24,active,576.0,2025-06-30 18:54:22,
500033,661510,22,active,528.0,2025-08-29 21:12:24,
500034,930786,24,active,576.0,2023-04-28 08:57:49,
500035,779884,109,active,4796.0,2024-03-08 13:48:13,
500036,564516,29,active,696.0,2025-03-22 09:48:09,
500037,774503,5,active,60.0,2025-05-29 00:55:29,
500038,695703,6,active,72.0,2024-09-16 13:55:24,
500039,393007,3,active,36.0,2023-04-02 07:49:02,
500040,236900,16,active,384.0,2025-08-29 07:50:54,
500041,511241,9,active,108.0,2023-06-25 07:27:44,
500042,681503,5,active,60.0,2024-10-17 11:41:25,
500043,938137,31,active,744.0,2023-08-16 18:40:16,
500044,382519,13,active,156.0,2024-09-19 14:59:30,
500045,362956,4,active,48.0,2025-01-02 10:18:54,
500046,451238,32,active,768.0,2024-03-24 13:01:43,
500047,917801,87,trialing,3828.0,2023-05-30 13:46:34,
500048,695829,4,active,48.0,2023-06-20 20:27:45,
500049,802565,67,active,2948.0,2025-08-17 13:13:00,
500050,716836,8,active,96.0,2023-07-23 12:15:27,
500051,378343,23,active,552.0,2024-07-23 16:07:30,
500052,451436,3,active,36.0,2025-04-13 06:18:04,
500053,511497,38,active,912.0,2023-11-20 17:48:52,
500054,336143,2,active,24.0,2025-03-30 11:22:02,
500055,110911,3,active,36.0,2024-06-20 07:32:47,
500056,729499,17,active,408.0,2024-04-28 08:34:22,
500057,283866,72,active,3168.0,2024-06-16 09:08:15,
500058,491474,61,active,2684.0,2025-05-02 09:29:56,
500059,216101,2,active,24.0,2023-08-08 00:27:09,
500060,579749,5,active,60.0,2025-05-22 13:41:39,
500061,412093,3,trialing,36.0,2023-09-29 17:45:40,
500062,591371,11,active,264.0,2025-08-30 14:43:05,
500063,740262,5,past_due,60.0,2024-11-23 09:35:23,
500064,942582,2,active,24.0,2024-03-05 18:57:15,
500065,989345,7,active,168.0,2024-02-21 13:24:09,
500066,290736,188,active,14852.0,2024-02-06 07:47:11,
500067,486582,6,churned,72.0,2024-06-20 11:52:52,2025-11-30 11:52:52
500068,289993,22,active,528.0,2024-01-03 21:21:51,
500069,988431,3,active,36.0,2024-05-30 16:42:00,
500070,507445,29,active,696.0,2025-08-12 13:05:15,
500071,356711,42,active,1848.0,2024-05-26 09:29:00,
500072,775527,52,active,2288.0,2024-01-27 15:48:29,
500073,289034,8,churned,96.0,2024-10-11 20:55:21,2025-04-10 20:55:21
500074,485273,17,trialing,408.0,2023-03-23 16:49:43,
500075,373043,3,active,36.0,2023-11-16 09:19:34,
500076,301920,3,active,36.0,2023-11-22 14:10:22,
500077,203708,23,active,552.0,2025-05-02 08:58:18,
500078,141134,6,active,72.0,2023-03-17 16:50:59,
500079,943067,19,active,456.0,2025-01-07 15:57:46,
500080,501273,5,trialing,60.0,2024-06-04 17:52:03,
500081,526874,42,active,1008.0,2024-02-21 13:13:57,
500082,299049,8,churned,96.0,2023-02-01 09:22:30,2023-07-01 09:22:30
500083,254108,11,active,132.0,2024-04-18 18:14:32,
500084,750844,29,trialing,696.0,2025-04-29 08:00:52,
500085,810968,13,churned,312.0,2023-06-15 11:41:25,2023-09-04 11:41:25
500086,248358,23,active,552.0,2025-03-30 06:05:23,
500087,741646,33,active,792.0,2024-01-12 07:21:12,
500088,713866,30,active,720.0,2024-05-07 19:19:10,
500089,450199,8,active,96.0,2025-05-09 12:24:46,
500090,416815,24,active,576.0,2024-12-02 10:03:03,
500091,359578,5,active,60.0,2024-08-04 09:47:07,
500092,125160,7,trialing,84.0,2025-09-13 10:14:37,
500093,457960,3,active,36.0,2025-07-11 14:34:26,
500094,436381,5,active,60.0,2024-02-22 09:14:40,
500095,437273,3,active,36.0,2024-01-11 08:48:02,
500096,237570,14,active,336.0,2023-04-11 10:54:13,
500097,336415,5,trialing,60.0,2024-10-06 07:33:30,
500098,909740,10,trialing,240.0,2024-09-19 13:01:43,
500099,782825,152,active,6688.0,2023-01-17 10:09:38,
500100,225784,109,active,4796.0,2025-03-24 09:07:25,
500101,414766,5,active,60.0,2024-03-31 06:35:59,
500102,219926,77,active,3388.0,2023-04-07 11:53:24,
500103,769811,34,active,1496.0,2024-08-05 09:00:08,
500104,474120,27,active,648.0,2023-02-05 15:49:18,
500105,842629,19,churned,456.0,2023-04-30 17:23:03,2025-06-04 17:23:03
500106,145314,4,trialing,48.0,2024-12-29 08:04:28,
500107,353158,42,active,1848.0,2025-04-25 09:28:47,
500108,554320,82,active,3608.0,2023-02-13 12:30:53,
500109,678569,33,active,792.0,2024-10-19 17:19:12,
500110,301501,30,active,720.0,2023-05-31 16:08:28,
500111,858507,56,active,2464.0,2023-06-17 20:42:21,
500112,907406,3,active,36.0,2024-07-29 08:34:49,
500113,157315,3,active,36.0,2023-07-10 13:25:32,
500114,672009,48,churned,1152.0,2023-01-27 05:51:27,2023-04-13 05:51:27
500115,876324,44,trialing,1936.0,2024-05-09 14:55:35,
500116,629593,58,active,2552.0,2025-06-05 06:37:27,
500117,679825,73,active,3212.0,2023-10-18 08:36:11,
500118,626504,9,churned,108.0,2023-09-28 10:21:51,2024-12-25 10:21:51
500119,603842,6,churned,72.0,2024-02-06 06:38:05,2025-01-08 06:38:05
500120,371569,33,active,792.0,2024-07-28 09:07:19,
500121,650852,3,trialing,36.0,2023-11-30 22:52:26,
500122,852560,28,active,672.0,2023-09-17 15:01:33,
500123,450789,59,active,2596.0,2023-11-17 11:58:55,
500124,256019,27,past_due,648.0,2023-12-22 07:03:43,
500125,260118,85,active,3740.0,2025-01-15 08:30:47,
500126,713583,5,active,60.0,2023-06-01 13:24:41,
500127,911267,62,active,2728.0,2025-06-02 10:47:23,
